회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨금,1등 당첨수,2등 당첨금,2등 당첨수
1212,5,8,25,31,41,44,45,"2,654,089,032",12,"67,192,128",79
1211,23,26,27,35,38,40,10,"2,370,956,036",14,"64,328,265",86
1210,1,7,9,17,27,38,31,"1,102,298,407",24,"28,818,259",153
1209,2,17,20,35,37,39,24,"1,371,910,466",22,"68,908,745",73
1208,6,27,30,36,38,42,25,"5,001,713,625",6,"73,554,613",68
1207,10,22,24,27,38,45,11,"1,733,202,949",17,"57,101,648",86
1206,1,3,17,26,27,42,23,"1,868,807,000",15,"63,135,372",74
1205,1,4,16,23,31,41,2,"3,226,386,263",10,"55,436,191",97
1204,8,16,28,30,31,44,27,"1,661,007,688",18,"52,452,875",95
1203,3,6,18,29,35,39,24,"1,368,060,733",21,"40,578,073",118
1202,5,12,21,33,37,40,7,"1,920,410,813",14,"41,109,712",109
1201,7,9,24,27,35,36,37,"1,414,555,718",19,"53,326,506",84
1200,1,2,4,16,20,32,45,"2,357,299,875",12,"58,932,497",80
1199,16,24,25,30,31,32,7,"1,695,609,839",17,"64,056,372",75
1198,26,30,33,38,39,41,21,"2,953,686,638",10,"63,112,963",78
1197,1,5,7,26,28,43,30,"2,205,089,827",13,"64,563,441",74
1196,8,12,15,29,40,45,14,"2,001,627,550",15,"53,234,776",94
1195,3,15,27,33,34,36,37,"2,939,186,738",10,"56,960,984",86
1194,3,13,15,24,33,37,2,"985,155,349",28,"46,438,300",99
1193,6,9,16,19,24,28,17,"1,717,013,508",16,"54,508,366",84
1192,10,16,23,36,39,40,11,"1,079,546,587",29,"54,924,300",95
1191,1,4,11,12,20,41,2,"1,536,334,355",18,"34,916,690",132
1190,7,9,19,23,26,45,33,"4,622,793,813",6,"40,909,680",113
1189,9,19,29,35,37,38,31,"2,263,651,299",13,"29,368,730",167
1188,3,4,12,19,22,27,9,"1,074,625,172",24,"38,725,232",111
1187,5,13,26,29,37,40,42,"2,619,380,012",11,"60,787,300",79
1186,2,8,13,16,23,28,35,"1,985,676,911",14,"52,058,946",89
1185,6,17,22,28,29,32,38,"2,388,695,125",12,"60,473,295",79
1184,14,16,23,25,31,37,42,"1,910,655,600",15,"50,280,411",95
1183,4,15,17,23,27,36,31,"2,073,966,000",13,"48,843,403",92
1182,1,13,21,25,28,31,22,"2,124,785,424",13,"58,274,706",79
1181,8,10,14,20,33,41,28,"1,593,643,500",17,"52,503,759",86
1180,6,12,18,37,40,41,3,"2,535,566,421",11,"64,563,034",72
1179,3,16,18,24,40,44,21,"2,162,821,097",13,"74,382,737",63
1178,5,6,11,27,43,44,17,"2,391,608,407",12,"53,744,010",89
1177,3,7,15,16,19,43,21,"4,576,672,000",6,"61,022,294",75
1176,7,9,11,21,30,35,29,"2,052,166,154",13,"49,959,102",89
1175,3,4,6,8,32,42,31,"1,384,026,094",20,"50,145,873",92
1174,8,11,14,17,36,39,22,"1,910,619,425",15,"56,194,689",85
1173,1,5,18,20,30,35,3,"1,179,946,063",24,"50,210,471",94
1172,7,9,24,40,42,44,45,"2,203,004,452",13,"48,705,881",98
1171,3,6,7,11,12,17,19,"1,128,345,286",21,"26,683,842",148
1170,3,13,28,34,38,42,25,"1,386,550,969",20,"44,872,200",103
1169,5,12,24,26,39,42,20,"2,852,735,813",10,"42,451,426",112
1168,9,21,24,30,33,37,29,"2,136,635,914",13,"62,559,160",74
1167,8,23,31,35,39,40,24,"2,884,087,913",10,"69,663,960",69
1166,14,23,25,27,29,42,16,"2,072,319,938",14,"60,442,665",80
1165,6,7,27,29,38,45,17,"2,192,485,270",13,"52,202,031",91
1164,17,18,23,25,38,39,22,"2,193,092,164",13,"62,522,365",76
1163,2,13,15,16,33,43,4,"1,936,891,150",15,"64,563,039",75
1162,20,21,22,25,28,29,6,"823,931,021",36,"63,379,310",78
1161,2,12,20,24,34,42,37,"1,792,657,969",16,"40,858,302",117
1160,7,13,18,36,39,45,19,"2,509,359,875",12,"59,746,664",84
1159,3,9,27,28,38,39,7,"1,284,854,250",23,"44,775,224",110
1158,21,25,27,32,37,38,20,"1,394,358,197",21,"56,747,136",86
1157,5,7,12,20,25,26,28,"2,257,842,157",12,"32,026,130",141
1156,30,31,34,39,41,45,7,"1,505,207,090",21,"72,167,464",73
1155,10,16,19,27,37,38,13,"4,066,375,179",7,"60,821,851",78
1154,4,8,22,26,32,38,27,"1,854,965,425",15,"74,796,993",62
1153,1,9,10,13,35,44,5,"2,027,312,925",15,"64,155,473",79
1152,30,31,32,35,36,37,5,"874,349,668",35,"64,561,685",79
1151,2,3,9,15,27,29,8,"1,620,503,030",17,"45,013,974",102
1150,8,9,18,35,39,45,25,"1,570,620,309",17,"19,690,668",226
1149,8,15,19,21,32,36,38,"1,613,380,765",17,"61,773,588",74
1148,3,6,13,15,16,22,32,"2,073,332,308",13,"46,311,547",97
1147,7,11,24,26,27,37,32,"3,323,422,079",8,"53,388,307",83
1146,6,11,17,19,40,43,28,"2,526,476,353",11,"64,331,574",72
1145,2,11,31,33,37,44,32,"3,051,630,084",9,"72,657,860",63
1144,3,4,12,15,26,34,6,"1,489,347,375",18,"47,532,364",94
1143,10,16,17,27,28,36,6,"2,545,657,023",11,"51,855,977",90
1142,2,8,28,30,37,41,22,"3,117,517,709",9,"69,795,173",67
1141,7,11,12,21,26,35,20,"2,457,758,285",11,"45,058,902",100
1140,7,10,22,29,31,38,15,"2,279,823,938",12,"54,935,517",83
1139,5,12,15,30,37,40,18,"2,167,490,972",13,"62,616,406",75
1138,14,16,19,20,29,34,35,"1,902,656,786",14,"88,790,650",50
1137,4,9,12,15,33,45,26,"2,023,447,688",14,"42,534,937",111
1136,21,33,35,38,42,44,1,"2,314,468,157",12,"61,719,151",75
1135,1,6,13,19,21,33,4,"2,953,726,125",9,"48,687,794",91
1134,3,7,9,13,19,24,23,"1,755,689,384",14,"42,233,078",97
1133,13,14,20,28,29,34,23,"2,105,079,491",13,"62,479,529",73
1132,6,7,19,28,34,41,5,"2,404,951,807",11,"60,398,334",73
1131,1,2,6,14,27,38,33,"1,542,367,898",17,"78,036,471",56
1130,15,19,21,25,27,28,40,"2,263,301,219",12,"65,602,934",69
1129,5,10,11,17,28,34,22,"2,369,567,660",11,"40,600,069",107
1128,1,5,8,16,28,33,45,"419,925,560",63,"57,262,577",77
1127,10,15,24,30,31,37,32,"2,267,891,969",12,"53,997,428",84
1126,4,5,9,11,37,40,7,"2,386,382,421",11,"48,077,302",91
1125,6,14,25,33,40,44,30,"2,195,289,188",12,"56,289,467",78
1124,3,8,17,30,33,34,28,"2,623,327,913",10,"50,255,324",87
1123,13,19,21,24,34,35,26,"1,731,310,711",16,"59,958,813",77
1122,3,6,21,30,34,35,22,"2,556,266,046",11,"47,338,261",99
1121,6,24,31,32,38,44,8,"2,524,513,262",11,"60,898,347",76
1120,2,19,26,31,38,41,34,"2,522,163,375",11,"50,812,816",91
1119,1,9,12,13,20,45,3,"1,396,028,764",19,"45,574,823",97
1118,11,13,14,15,16,45,3,"1,477,445,132",19,"64,980,226",72
1117,3,4,9,30,33,36,7,"3,028,385,542",9,"48,325,302",94
1116,15,16,17,25,30,31,32,"2,695,000,238",10,"39,400,589",114
1115,7,12,23,32,34,36,8,"2,257,278,282",12,"75,242,610",60
1114,10,16,19,32,33,38,3,"1,583,813,824",17,"50,994,006",88
1113,11,13,20,21,32,44,8,"1,987,426,822",14,"81,356,654",57
1112,16,20,26,36,42,44,24,"2,804,455,650",10,"79,221,912",59
1111,3,13,30,33,43,45,4,"1,714,662,540",16,"47,138,490",97
1110,3,7,11,20,22,41,24,"1,647,392,719",16,"37,229,214",118
1109,10,12,13,19,33,40,2,"1,584,352,875",17,"53,440,474",84
1108,7,19,26,37,39,44,27,"1,957,990,849",14,"47,590,056",96
1107,6,14,30,31,40,41,29,"2,025,625,233",14,"57,639,743",82
1106,1,3,4,29,42,45,36,"2,790,462,819",11,"76,355,948",67
1105,6,16,34,37,39,40,11,"1,834,853,800",15,"55,266,681",83
1104,1,7,21,30,35,38,2,"1,817,193,100",15,"59,776,089",76
1103,10,12,29,31,40,44,2,"1,574,419,633",17,"58,695,469",76
1102,13,14,22,26,37,38,20,"1,383,591,413",20,"73,205,895",63
1101,6,7,13,28,36,42,41,"2,100,529,500",13,"60,681,964",75
1100,17,26,29,30,31,43,12,"2,207,575,472",13,"59,050,373",81
1099,3,20,28,38,40,43,4,"2,959,934,125",9,"62,533,820",71
1098,12,16,21,24,41,43,15,"1,930,461,895",13,"61,509,816",68
1097,14,33,34,35,37,40,4,"3,864,293,090",7,"67,288,686",67
1096,1,12,16,19,23,43,34,"2,539,391,175",10,"49,791,984",85
1095,8,14,28,29,34,40,12,"2,617,825,575",10,"76,544,608",57
1094,6,7,15,22,26,40,41,"2,112,854,469",12,"48,571,368",87
1093,10,17,22,30,35,43,44,"1,967,040,750",13,"65,568,025",65
1092,7,18,19,26,33,45,37,"1,583,289,844",16,"50,263,170",84
1091,6,20,23,24,28,30,44,"2,898,470,459",9,"66,887,780",65
1090,12,19,21,29,40,45,1,"2,386,494,614",11,"49,718,638",88
1089,4,18,31,37,42,43,40,"2,978,522,167",9,"56,554,219",79
1088,11,21,22,30,39,44,31,"2,434,697,898",11,"47,485,243",94
1087,13,14,18,21,34,44,16,"1,732,253,602",16,"65,061,169",71
1086,11,16,25,27,35,36,37,"1,515,913,809",17,"64,105,808",67
1085,4,7,17,18,38,44,36,"1,073,277,473",23,"51,427,879",80
1084,8,12,13,29,33,42,5,"1,738,764,600",15,"40,625,342",107
1083,3,7,14,15,22,38,17,"1,713,084,525",15,"59,482,102",72
1082,21,26,27,32,34,42,31,"3,720,489,643",7,"70,009,214",62
1081,1,9,16,23,24,38,17,"2,343,892,944",11,"46,708,012",92
1080,13,16,23,31,36,44,38,"3,639,444,429",7,"51,780,714",82
1079,4,8,18,24,37,45,6,"2,712,329,417",9,"47,864,637",85
1078,6,10,11,14,36,38,43,"2,141,604,938",12,"55,626,103",77
1077,4,8,17,30,40,43,34,"3,570,901,018",7,"42,510,727",98
1076,3,7,9,33,36,37,10,"2,672,689,750",9,"46,616,682",86
1075,1,23,24,35,44,45,10,"2,896,337,167",9,"27,153,161",160
1074,1,6,20,27,28,41,15,"2,134,763,657",12,"54,737,530",78
1073,6,18,28,30,32,38,15,"2,345,227,603",11,"69,348,129",62
1072,16,18,20,23,32,43,27,"2,175,006,375",12,"46,774,331",93
1071,1,2,11,21,30,35,39,"5,183,979,750",5,"52,047,990",83
1070,3,6,14,22,30,41,36,"1,859,116,929",14,"68,856,183",63
1069,1,10,18,22,28,31,44,"1,863,217,554",14,"55,031,743",79
1068,4,7,19,26,33,35,3,"1,363,929,514",19,"49,644,944",87
1067,7,10,19,23,28,33,18,"1,981,114,010",13,"52,346,509",82
1066,6,11,16,19,21,32,45,"1,670,947,250",15,"47,470,093",88
1065,3,18,19,23,32,45,24,"1,852,593,938",14,"58,415,125",74
1064,3,6,9,18,22,35,14,"1,348,168,106",19,"68,858,049",62
1063,3,6,22,23,24,38,30,"3,770,311,875",7,"79,976,313",55
1062,20,31,32,40,41,45,12,"3,801,933,804",7,"65,229,257",68
1061,4,24,27,35,37,45,15,"2,422,768,773",11,"44,866,089",99
1060,3,10,24,33,38,45,36,"898,238,907",28,"43,664,392",96
1059,7,10,22,25,34,40,27,"2,033,168,481",13,"53,074,680",83
1058,11,23,25,30,32,40,42,"2,058,020,250",13,"74,317,398",60
1057,8,13,19,27,40,45,12,"1,616,069,714",17,"6,895,880",664
1056,13,20,24,32,36,45,29,"1,969,662,456",14,"56,739,248",81
1055,4,7,12,14,22,33,31,"2,362,815,205",11,"47,085,086",92
1054,14,19,27,28,30,45,33,"3,147,925,709",9,"71,543,767",66
1053,22,26,29,30,34,45,15,"4,090,367,411",7,"74,563,990",64
1052,5,17,26,27,35,38,1,"2,341,682,762",11,"39,750,788",108
1051,21,26,30,32,33,35,44,"1,669,558,480",18,"71,552,507",70
1050,6,12,31,35,38,43,17,"1,535,083,280",17,"62,134,324",70
1049,3,5,13,20,21,37,17,"1,727,810,100",15,"48,533,992",89
1048,6,12,17,21,32,39,30,"1,612,494,508",17,"44,791,515",102
1047,2,20,33,40,42,44,32,"2,748,797,875",9,"49,677,071",83
1046,7,16,25,29,35,36,28,"2,011,415,719",12,"70,575,991",57
1045,6,14,15,19,21,41,37,"1,990,060,443",13,"64,355,189",67
1044,12,17,20,26,28,36,4,"3,136,941,235",8,"58,091,505",72
1043,3,5,12,22,26,31,19,"1,468,646,956",17,"48,385,656",86
1042,5,14,15,23,34,43,4,"1,240,663,669",20,"41,355,456",100
1041,6,7,9,11,17,18,45,"935,091,165",25,"45,837,803",85
1040,8,16,26,29,31,36,11,"3,660,482,625",7,"67,786,716",63
1039,2,3,6,19,36,39,26,"1,585,019,672",16,"52,833,990",80
1038,7,16,24,27,37,44,2,"1,627,457,225",15,"52,839,521",77
1037,2,14,15,22,27,33,31,"1,708,576,825",15,"54,762,078",78
1036,2,5,22,32,34,45,39,"2,837,323,167",9,"66,499,762",64
1035,9,14,34,35,41,42,2,"3,231,193,735",8,"60,679,695",71
1034,26,31,32,33,38,40,11,"2,868,856,209",9,"65,201,278",66
1033,3,11,15,20,35,44,10,"1,913,414,943",13,"52,477,625",79
1032,1,6,12,19,36,42,28,"2,675,257,538",10,"49,541,807",90
1031,6,7,22,32,35,36,19,"3,213,957,563",8,"66,957,450",64
1030,2,5,11,17,24,29,9,"1,276,406,507",19,"38,864,942",104
1029,12,30,32,37,39,41,24,"2,527,848,450",10,"67,952,916",62
1028,5,7,12,13,18,35,23,"1,181,235,132",20,"43,268,687",91
1027,14,16,27,35,39,45,5,"2,460,504,338",10,"49,407,718",83
1026,5,12,13,31,32,41,34,"1,619,118,475",15,"53,260,477",76
1025,8,9,20,25,29,33,7,"6,118,853,344",4,"59,119,356",69
1024,9,18,20,22,38,44,10,"3,020,323,500",8,"63,922,191",63
1023,10,14,16,18,29,35,25,"2,745,677,875",9,"57,201,623",72
1022,5,6,11,29,42,45,28,"4,866,468,075",5,"64,371,271",63
1021,12,15,17,24,29,45,16,"2,108,962,250",12,"75,320,081",56
1020,12,27,29,38,41,45,6,"1,966,431,520",13,"55,332,489",77
1019,1,4,13,17,34,39,6,"438,565,140",50,"48,729,460",75
1018,3,19,21,25,37,45,35,"12,361,744,688",2,"66,460,993",62
1017,12,18,22,23,30,34,32,"3,517,684,822",7,"58,628,081",70
1016,15,26,28,34,41,42,44,"2,260,660,671",11,"60,949,185",68
1015,14,23,31,33,37,40,44,"3,051,105,610",8,"39,883,734",102
1014,3,11,14,18,26,27,21,"2,410,449,338",10,"58,223,414",69
1013,21,22,26,34,36,41,32,"5,047,570,725",5,"53,244,417",79
1012,5,11,18,20,35,45,3,"1,861,944,318",13,"53,081,746",76
1011,1,9,12,26,35,38,42,"2,220,348,512",11,"53,561,039",76
1010,9,12,15,25,34,36,3,"3,119,380,079",8,"63,017,780",66
1009,15,23,29,34,40,44,20,"1,702,462,825",15,"61,683,436",69
1008,9,11,30,31,41,44,33,"2,267,377,910",11,"42,854,222",97
1007,8,11,16,19,21,25,40,"2,718,786,375",9,"58,259,709",70
1006,8,11,15,16,17,37,36,"2,855,602,125",9,"65,898,511",65
1005,8,13,18,24,27,29,17,"2,061,199,344",12,"49,076,175",84
1004,7,15,30,37,39,44,18,"2,576,251,913",10,"63,143,430",68
1003,1,4,29,39,43,45,31,"1,811,116,822",14,"64,029,383",66
1002,17,25,33,35,38,45,15,"3,088,449,563",8,"48,446,268",85
1001,6,10,12,14,20,42,15,"2,077,279,594",12,"62,947,867",66
1000,2,8,19,22,32,42,39,"1,246,819,620",22,"41,941,945",109
999,1,3,9,14,18,28,34,"1,513,274,790",16,"60,229,843",67
998,13,17,18,20,42,45,41,"2,076,499,657",12,"78,358,478",53
997,4,7,14,16,24,44,20,"1,253,749,560",19,"46,708,317",85
996,6,11,15,24,32,39,28,"1,491,185,771",18,"52,018,109",86
995,1,4,13,29,38,39,7,"3,447,271,875",7,"58,287,206",69
994,1,3,8,24,27,35,28,"1,861,582,063",12,"53,188,059",70
993,6,14,16,18,24,42,44,"3,991,197,063",6,"57,017,101",70
992,12,20,26,33,44,45,24,"1,986,955,563",12,"68,515,710",58
991,13,18,25,31,33,44,38,"2,904,166,032",8,"35,202,013",110
990,2,4,25,26,36,37,28,"1,740,095,277",14,"72,503,970",56
989,17,18,21,27,29,33,26,"5,826,768,563",4,"61,658,927",63
988,2,13,20,30,31,41,27,"2,678,489,375",9,"65,864,493",61
987,2,4,15,23,29,38,7,"2,378,711,625",10,"54,308,485",73
986,7,10,16,28,41,42,40,"2,375,275,125",10,"56,554,170",70
985,17,21,23,30,34,44,19,"2,434,752,975",10,"65,450,349",62
984,3,10,23,35,36,37,18,"3,453,006,268",7,"62,945,427",64
983,13,23,26,31,35,43,15,"2,503,422,225",10,"53,491,928",78
982,5,7,13,20,21,44,33,"3,023,630,672",8,"49,771,699",81
981,27,36,37,41,43,45,32,"1,992,863,193",13,"66,428,774",65
980,3,13,16,23,24,35,14,"3,409,443,215",7,"56,824,054",70
979,7,11,16,21,27,33,24,"1,606,400,518",14,"47,446,429",79
978,1,7,15,32,34,42,8,"2,373,391,388",10,"56,509,319",70
977,2,9,10,14,22,44,16,"1,669,905,911",14,"47,517,648",82
976,4,12,14,25,35,37,2,"3,243,867,215",7,"54,847,997",69
975,7,8,9,17,22,24,5,"2,440,410,375",9,"60,010,092",61
974,1,2,11,16,39,44,32,"1,317,034,523",17,"56,539,361",66
973,22,26,31,37,41,42,24,"2,912,742,750",8,"92,468,024",42
972,3,6,17,23,37,39,26,"1,124,886,244",20,"46,870,261",80
971,2,6,17,18,21,26,7,"3,725,880,250",6,"60,094,843",62
970,9,11,16,21,28,36,5,"1,611,544,045",14,"43,221,488",87
969,3,9,10,29,40,45,7,"1,149,427,894",20,"68,418,328",56
968,2,5,12,14,24,39,33,"1,667,729,683",13,"37,251,694",97
967,1,6,13,37,38,40,9,"5,809,776,094",4,"56,133,103",69
966,1,21,25,29,34,37,36,"2,411,303,513",10,"80,376,784",50
965,2,13,25,28,29,36,34,"3,403,348,929",7,"86,316,821",46
964,6,21,36,38,39,43,30,"2,345,861,063",10,"75,187,855",52
963,6,12,19,23,34,42,35,"1,476,478,125",15,"54,282,285",68
962,1,18,28,31,34,43,40,"1,940,906,094",12,"53,175,510",73
961,11,20,29,31,33,42,43,"2,575,231,209",9,"52,915,710",73
960,2,18,24,30,32,45,14,"2,401,133,213",10,"71,462,298",56
959,1,14,15,24,40,41,35,"3,015,312,891",8,"53,605,563",75
